title,words,characters,no spaces,no punctuation,no both
Chapter 1: Scholar Meng Hao,2170,11867,9698,11382,9213
Chapter 2: The Reliance Sect,2029,11271,9243,10871,8843
Chapter 3: Promotion to the Outer Sect,3225,17649,14425,17002,13778
Chapter 4: A Copper Mirror,2376,13525,11150,13097,10722
Chapter 5: This Kid isnt Bad,2458,13649,11192,13135,10678
Chapter 6: The Delights of the Copper Mirror,2013,11344,9332,11007,8995
Chapter 7: I Need Spirit Stones!,2106,11909,9804,11497,9392
Chapter 8: Zhao Wugang,2838,16079,13242,15563,12726
Chapter 9: Impatience and Frustration,2786,15648,12863,15126,12341
Chapter 10: Wang Tengfei,2089,11691,9603,11253,9165
Chapter 11: Pill Cultivation Workshop Outlet,2111,12261,10151,11816,9706
"Chapter 12: Hello, Elder Sister Xu",2252,12694,10443,12208,9957
Chapter 13: Manly Cao Yang,2041,11414,9374,10984,8944
Chapter 14: Threats,2443,13815,11373,13303,10861
Chapter 15: Decisive Attack,2419,13658,11240,13190,10772
Chapter 16: Come here!,2543,14355,11813,13853,11311
Chapter 17: I shall rely on myself!,1864,10403,8540,10065,8202
Chapter 18: Fatty of the Outer Sect,1880,10395,8516,9996,8117
Chapter 19: The Wind Stirs Again,2136,12003,9868,11611,9476
Chapter 20: Entering the Black Mountain,2100,11973,9874,11565,9466
"Chapter 21: Meng Hao, Youre Shameless!",2172,12306,10135,11902,9731
Chapter 22: A Sword Resting in Demonic Python Skin,2158,12102,9945,11686,9529
Chapter 23: An Ancient Beast!,2637,14988,12352,14513,11877
Chapter 24: Who was it?!,1944,10879,8936,10516,8573
Chapter 25: Sovereign of the Sky,1944,10917,8974,10554,8611
Chapter 26: Bewilderment,1768,9778,8011,9442,7675
Chapter 27: The Wind Stirs Again,2044,11553,9510,11186,9143
Chapter 28: Shangguan Xiu,2018,11606,9589,11185,9168
Chapter 29: Inner Sect Training,2061,11781,9721,11386,9326
"Chapter 30: Kill Han Zong, Battle Wang Tengfei!",2020,11392,9373,11048,9029
Chapter 31: Fight!,1963,11161,9199,10836,8874
"Chapter 32: This Finger Brought me Humiliation, Today, I Cripple it!",1752,9854,8103,9550,7799
Chapter 33: Is This Sword Yours Too?,2340,13388,11049,12957,10618
"Chapter 34: Fame from 1,000 Years Ago!",2778,15770,12993,15199,12422
Chapter 35: Im Not Willing!,2113,11918,9806,11465,9353
Chapter 36: The Perks of the Inner Sect,2081,11746,9666,11343,9263
Chapter 37: Water and Ink in the Evening,2204,12274,10071,11816,9613
Chapter 38: Qi Condensation Manual of the Sublime Spirit Scripture,2090,12036,9947,11654,9565
Chapter 39: Patriarch Reliance!,2132,12398,10267,12005,9874
Chapter 40: Sublime Spirit Scripture,1923,11017,9095,10672,8750
Chapter 41: A Sensation in the State of Zhao!,2020,11434,9415,11046,9027
Chapter 42: Who Dares to Touch Him!?,2417,13461,11045,13001,10585
Chapter 43: The Sole Heir,2262,12885,10624,12470,10209
Chapter 44: The North Sea Reveals the Dao,2477,13531,11055,13032,10556
Chapter 45: A Look Back at the Mortal World after Three Years,2104,11561,9458,11116,9013
Chapter 46: Three Long Spears,2040,11447,9408,10971,8932
Chapter 47: Another Encounter with Shangguan Xiu,2065,11313,9249,10863,8799
Chapter 48: Eccentric Song and Wu Dingqiu,2209,12666,10458,12245,10037
Chapter 49: Mountain of Trial by Fire,2449,13969,11521,13547,11099
Chapter 50: Iron Spear,2030,11657,9628,11262,9233
Chapter 51: My Treasure Mountain,2123,12044,9922,11659,9537
Chapter 52: Bumper Crop,2428,13694,11267,13261,10834
Chapter 53: How will you thank me?,2259,12837,10579,12397,10139
Chapter 54: An Old Friend from the Sect,2083,11854,9772,11483,9401
Chapter 55: Overbearing,2273,12821,10549,12339,10067
"Chapter 56: Elder Brother Meng, Whether or not You Want to Trade, You Will!",2250,12731,10482,12301,10052
Chapter 57: Was it Worth it?,2053,11599,9547,11143,9091
Chapter 58: This is not its World,2475,13978,11504,13482,11008
Chapter 59: Unable to see Changan,2026,11174,9149,10819,8794
Chapter 60: Undispellable Death Aura,2112,11713,9602,11328,9217
Chapter 61: A Shocking Event in the Southern Domain,2333,13409,11077,12989,10657
Chapter 62: One Wave Settles Down,2077,11843,9767,11492,9416
Chapter 63: Another Wave Rises Up!,2113,12067,9955,11713,9601
Chapter 64: A Massacre Caused by a Silver Spear,2327,12962,10636,12538,10212
Chapter 65: Battle at the North Sea,2092,11550,9459,11178,9087
Chapter 66: A Great Kindness!,2142,11743,9602,11404,9263
Chapter 67: The Death of Ding Xin,1734,9529,7796,9218,7485
Chapter 68: Milky Way City,2129,11749,9621,11410,9282
Chapter 69: Young Lord Ding,2157,12272,10116,11843,9687
Chapter 70: Breaking Through to the Ninth Level of Qi Condensation!,2524,14366,11843,13907,11384
Chapter 71: Dong Hu,2024,11546,9523,11192,9169
Chapter 72: A True Man,1857,10575,8719,10194,8338
Chapter 73: Fierce Fighting,1982,11292,9311,10970,8989
Chapter 74: Not Past One Hundred Years,2049,11773,9725,11382,9334
Chapter 75: An Ancient Path Appears Again!,1891,10784,8894,10476,8586
Chapter 76: Beyond Flawlessness,2286,13213,10928,12826,10541
Chapter 77: Lord Revelation,2049,11459,9411,11115,9067
Chapter 78: No Choice but to Believe!,2142,12032,9891,11596,9455
Chapter 79: Kill!,2095,11948,9854,11531,9437
Chapter 80: Meng Haos Scheming,1778,10158,8381,9859,8082
Chapter 81: The Patriarchs Immortals Cave,2159,12462,10304,12085,9927
Chapter 82: The Great Art of Demonic Life,1823,10540,8718,10205,8383
"Chapter 83: Patriarch, What About Disciples Poison?",1822,10678,8857,10319,8498
"Chapter 84: Meng Hao, What Are You Doing?",2136,12106,9971,11628,9493
Chapter 85: Ancient Demon Sealing Jade,1928,11068,9141,10656,8729
Chapter 86: Demonic Lamps that Separate Heaven and Earth!,1812,10335,8524,9997,8186
Chapter 87: I Shall Reach the Peak of the Thirteenth Level of Qi Condensation!,2143,12260,10118,11894,9752
Chapter 88: Lord Revelations True Self,2285,13271,10987,12922,10638
Chapter 89: Guyiding Tri-Rain,2486,13825,11340,13341,10856
"Chapter 90: The Great Path of Demon Sealing, a Concept Like a Scripture",2164,11970,9807,11544,9381
Chapter 91: What Goes Around Comes Around,2182,12666,10485,12257,10076
Chapter 92: Exterminate Foundation Establishment!,2214,12873,10660,12501,10288
"Chapter 93: Sever the Dao, Change Heaven and Earth, Demonic Will!",1632,9506,7875,9210,7579
Chapter 94: You Really Want Me To Come Out?,1954,11007,9054,10653,8700
"Chapter 95: A Rain Shower, a Cold Spell",2628,15077,12450,14549,11922
Chapter 96: Demonic Jade in a Mountain Valley,2021,11541,9521,11217,9197
Chapter 97: Cultivation Breakthrough in a Mountain Valley,2158,12409,10252,11999,9842
Chapter 98: Valley of the Red Rope,1936,11062,9127,10733,8798
Chapter 99: Foundation Establishment!,1818,10601,8784,10316,8499
Chapter 100: Blade against Flawlessness,2328,13234,10907,12817,10490
Chapter 101: Eighth Generation Demon Sealer,1909,10853,8945,10534,8626
Chapter 102: Eighth Demon Sealing Hex!,1898,11049,9152,10716,8819
Chapter 103: Treasures,1738,9885,8148,9559,7822
"Chapter 104: A Great Wind Arises, The",2317,13130,10814,12711,10395
Chapter 105: Poison Blossoms in the Right Eye,2131,12010,9880,11685,9555
Chapter 106: The Day the Resurrection Lily Blooms in Seven Colors,2247,12523,10277,12071,9825
Chapter 107: Spring and Autumn tree,2558,14498,11941,14018,11461
Chapter 108: The Secret Struggle Begins,2146,12382,10237,12002,9857
Chapter 109: The Legend of Doom,2131,12300,10170,11866,9736
Chapter 110: Chu Yuyan's Killing Intent,2168,12148,9981,11714,9547
Chapter 111: The Roc and the Flying Rain-Dragon,1999,11257,9259,10909,8911
Chapter 112: Things Change,1949,10586,8638,10233,8285
Chapter 113: An Altar in a Lake,2032,11090,9059,10699,8668
"Chapter 114: Many Thanks, Fellow Daoist Chu",1816,10067,8252,9708,7893
Chapter 115: Do You Want Out?,1916,10577,8662,10217,8302
Chapter 116: Legacy of an Immortal!,2061,11480,9420,11082,9022
Chapter 117: A Tiny Little Punishment,1947,10732,8786,10368,8422
"Chapter 118: Without Entering Mount Heaven, Immortal Ascension is Impossible",1864,10680,8817,10282,8419
Chapter 119: The Legacy Shocks the Southern Domain,2028,11497,9470,11082,9055
Chapter 120: The Five Sects and Three Clans of the Southern Domain,2238,12610,10373,12201,9964
Chapter 121: Meng Haos Blood Divinity,2042,11585,9544,11204,9163
Chapter 122: Reaching an Agreement,2161,12260,10100,11866,9706
Chapter 123: Converging Sense into the Form,2278,12801,10524,12374,10097
Chapter 124: Breaking Through the Matrix,2174,12515,10342,12128,9955
Chapter 125: This Matrix Was Made for It,2210,12445,10236,12059,9850
Chapter 126: Out of Nowhere,2309,12991,10683,12586,10278
Chapter 127: This is My Promise to You,2262,12444,10183,12036,9775
Chapter 128: Li Daoyis Sixth Matrix,1828,10618,8791,10316,8489
Chapter 129: Li Clan Patriarch!,1961,11139,9179,10757,8797
Chapter 130: The Perfect Foundation!!,4001,23002,19002,22308,18308
Chapter 131: Im Here to Keep My Promise!,1873,10388,8516,10101,8229
Chapter 132: Perfect Dao Pillar!,1809,10639,8831,10333,8525
Chapter 133: Do You Dare?!,1850,10530,8681,10205,8356
Chapter 134: Eighth Demon Sealing Hex!,1865,10565,8701,10213,8349
Chapter 135: Breaching the Volcano,2010,11626,9617,11266,9257
Chapter 136: Zhou Daya!,2135,12070,9936,11624,9490
Chapter 137: 10th Patriarch of the Wang Clan,2397,13663,11267,13178,10782
Chapter 138: Good Luck Charm,2457,13992,11536,13525,11069
Chapter 139: Thunderclap Leaf,2269,12651,10383,12200,9932
Chapter 140: Dont You Know the Rules?,1994,11214,9221,10840,8847
Chapter 141: The Cosmetic Cultivation Pill Appears Again,2292,13097,10806,12671,10380
Chapter 142: Black Sieve Sect,2092,11909,9818,11548,9457
Chapter 143: Ghost in the Night,2222,12562,10341,12120,9899
Chapter 144: A Figure in the Crowd,2038,11826,9789,11480,9443
Chapter 145: An Ancient Mountain Path,2284,13123,10840,12735,10452
Chapter 146: This is Ultimate Vexation!,1914,11065,9152,10707,8794
Chapter 147: Looking at Each Other,1802,10242,8441,9908,8107
Chapter 148: Things Are About To Go Down,1993,11042,9050,10684,8692
Chapter 149: Killing Intent!,1884,10658,8775,10341,8458
Chapter 150: Simple and Uncomplicated,1985,11111,9127,10711,8727
Chapter 151: Ill Do It Myself,1816,10134,8319,9763,7948
Chapter 152: Words Under the Moon With An Old Companion,1962,10922,8961,10496,8535
Chapter 153: Barring the Way,1896,10932,9037,10560,8665
Chapter 154: To Each His Own Path,1894,10823,8930,10475,8582
Chapter 155: The Last Person,1826,10313,8488,9907,8082
Chapter 156: Fear of Meng Hao,2027,11501,9475,11126,9100
Chapter 157: A Cauldron with a Square Exterior!,1966,11000,9035,10664,8699
Chapter 158: Coexist with Ji?!,1852,10345,8494,10042,8191
"Chapter 159: Square Without, Round Within; a Trend of the Heavens",1824,10680,8857,10312,8489
Chapter 160: No Meng in the Nine Families,2251,12833,10583,12392,10142
Chapter 161: Ultimate Vexation Appears!,1967,11117,9151,10761,8795
Chapter 162: Crafty Schemes,1930,10900,8971,10542,8613
Chapter 163: Tender Killing,1781,10065,8285,9743,7963
Chapter 164: That Birds Aura,1844,10297,8454,9953,8110
Chapter 165: Sieve Net Thunder Tree!,2105,12015,9911,11592,9488
Chapter 166: Ultimate Vexation Bonds a Master!,1860,10703,8844,10328,8469
"Chapter 167: You Know, Thats Immoral",2130,12035,9906,11586,9457
Chapter 168: The Xiao Clan Gifts the Lake,2068,11746,9679,11304,9237
"Chapter 169: Heavens, You Really Dont Know?",1937,10870,8934,10349,8413
Chapter 170: Lonely Sang Luo,2255,12563,10309,12080,9826
Chapter 171: Blood Demon Dao Child,2058,11610,9553,11198,9141
Chapter 172: Charging into mid Foundation Establishment!,2011,11425,9415,11020,9010
